Title,Overview,Release Date,Vote Average,Vote Count,Runtime,Budget,Revenue,Popularity,Production Countries,Production Companies,Genres
Already Tomorrow in Hong Kong,"In this sparkling romance, Ruby, a Chinese American toy designer from LA, visits Hong Kong for the first time on business. Finding herself stranded, she meets Josh, an American expat who shows her the city.",2016-02-12,5.925,106,79,0,0,11.922,"['Hong Kong', 'United States of America']","['Unbound Feet Productions', 'IXII Productions']",['Romance']
Little Sister,"After returning to her childhood home, young nun Colleen finds her old room exactly how she left it: painted black and covered in goth/metal posters. Her parents are happy enough to see her, but her brother is living as a recluse in the guesthouse since returning home from the Iraq war.",2016-10-06,6.0,105,91,0,0,6.823,['United States of America'],[],"['Comedy', 'Drama']"
Sugar Mountain,"Two brothers, down on their luck, fake a disappearance in the Alaskan wilderness so they'll have a great survival story to sell, but the hoax turns out to be more real than they planned.",2016-12-09,5.688,104,106,0,0,12.006,['United States of America'],['Yellow Brick Films'],"['Drama', 'Thriller']"
Money,Two wealthy businessmen are about to get away with $5 million in ill-gotten money until their plans are revealed by an uninvited house guest.,2016-04-06,5.293,104,86,0,0,8.664,['United States of America'],"['Kamel Films', 'Create Entertainment', 'Narola Films']","['Crime', 'Thriller']"
Worry Dolls,"A brutal serial killer is finally gunned down in the middle of carrying out one last heinous act of bloody murder. In the maniac’s possession, a box of Guatemalan talismans, which mistakenly end up being sold as charm jewelry in Chloe’s Collectables thrift shop. Soon those who bought the Worry Dolls begin to act strangely out of character and cause another rash of senseless slaughter. An ancient curse is consuming the city and pits a hardened detective against the clock to save his 8 year-old daughter’s life.",2016-06-27,5.264,104,85,0,0,7.304,['United States of America'],['Worry Dolls Productions'],"['Horror', 'Thriller']"
Ice Sharks,"A new breed of aggressive, ravenous sharks cracks the frozen ocean floor of an Arctic research station, devouring all who fall through. As the station sinks into frigid waters, those alive must fashion makeshift weapons or suffer the same fate.",2016-07-26,4.883,103,85,0,0,11.027,['United States of America'],"['Syfy', 'The Asylum']","['TV Movie', 'Adventure', 'Action', 'Science Fiction', 'Horror']"
The Land Before Time XIV: Journey of the Brave,"On a day known to the dinosaurs as ""Treasure Day"", Bron becomes stuck in the Mysterious Beyond. This event urges the young Longneck Littlefoot to take his friends on a quest to the Fire Mountain to save his father. Along the way, they befriend a Flyer.",2016-02-02,6.835,103,82,0,0,15.542,['United States of America'],"['Universal Animation Studios', 'Universal 1440 Entertainment', 'Universal Pictures']","['Animation', 'Adventure', 'Family']"
Joshy,"After his engagement ends badly, Josh decides to take advantage of his bachelor-party plans in Ojai, California, with the few friends still willing to join him. Focused on drugs and their own hangups, his self-absorbed friends refuse to confront the elephant in the room and ask Josh how he’s feeling. As welcome and unwelcome guests stop by, Josh will attempt to find some closure over this weekend with the guys.",2016-08-12,5.569,101,93,0,0,8.164,['United States of America'],"['American Zoetrope', 'Destro Films', 'Bow + Arrow Entertainment']","['Drama', 'Comedy']"
I'll Be Home for Christmas,"Jackie Foster, a dynamic Assistant District Attorney and single mom, is looking forward to wrapping up her latest case and spending Christmas with Gracie, her adorable and precocious, eight-year old daughter. But when Jackie’s estranged dad, Jack , a gruff retired police officer, unexpectedly shows up at her door, they will be forced to confront old wounds.",2016-11-27,6.08,100,84,0,0,10.431,"['Canada', 'United States of America']","['Hideaway Pictures', 'World Joy Productions', 'Motion Picture Corporation of America', 'Brad Krevoy Television']","['TV Movie', 'Family', 'Drama']"
Interrogation,"After the FBI receives a threat that endangers the entire city, an interrogator and an I.T. specialist are plunged into a series of mind games with a criminal mastermind, desperately racing against time to uncover the villain's true agenda as they fight to protect thousands of lives.",2016-08-20,5.8,100,93,0,0,7.803,['United States of America'],['WWE Studios'],['Action']
Monster High: Great Scarrier Reef,"Join your favourite ghoulfriends in an all-new aquatic adventure! When the ghouls get pulled into the school pool, they're transported to the gore-geous underwater world of the Great Scarrier Reef. Lagoon realizes she's come home and, in a fintastic mission of the heart, decides to come to terms with her own freaky flaws. Of course she'll need help from the most creeperific firends ever as she confronts a frenemy from her past, competes in a scaretastic dance extravaganze, and fights a terrible beast from the deep!",2016-02-12,7.781,98,69,0,0,16.562,['United States of America'],['Mattel Entertainment'],"['Family', 'Animation']"
The Julius House: An Aurora Teagarden Mystery,"Aurora Teagarden is a beautiful young librarian with a passion for solving murders. After an exhaustive search for the perfect home, Aurora finally purchases her dream house, unaware of its murky history. As she prepares to move in, Aurora discovers that the family who once lived there mysteriously disappeared without a trace.",2016-10-16,6.773,97,84,0,0,8.574,"['Canada', 'United States of America']","['Muse Entertainment', 'iCandy Production', 'Head First Productions', 'Lighthouse Pictures']","['Mystery', 'TV Movie', 'Crime', 'Drama']"
Jack of the Red Hearts,A teenage con artist tricks a desperate mother into hiring her as a live-in companion for her autistic daughter.,2016-02-26,7.057,97,102,0,0,6.039,['United States of America'],['Sundial Pictures'],"['Drama', 'Family']"
Baked in Brooklyn,"A recent college graduate decides to sell marijuana on the streets of Manhattan after losing his job at a consulting firm. He soon meets the girl of his dreams. With an unsupportive girlfriend, an increase of clienteles, and the growing threats of being caught or killed, he soon realizes he is in way over his head.",2016-10-14,5.26,96,86,0,0,5.399,['United States of America'],[],"['Comedy', 'Crime', 'Drama', 'Romance']"
The Last Descent,"In 2009 John Jones entered Nutty Putty Cave with his brother Josh. What happened next has been a topic of much discussion and controversy ever since. Over 127 rescuers responded to the call for aid, and each one has their own take on the events. A story about love, life, and human connection. Ultimately it is the story about how clearly you can see what matters most when you are at the edge of life and death. Made with cooperation from members of John's immediate family.",2016-09-16,7.135,96,105,0,0,6.363,['United States of America'],"['Cocollala Pictures', 'Dark Rider Productions', 'Deep Blue Films']",['Drama']
Tony Robbins: I Am Not Your Guru,"Granted unprecedented access, Berlinger captures renowned life and business strategist Tony Robbins behind the scenes of his mega seminar Date with Destiny, pulling back the curtain on this life-altering and controversial event, the zealous participants and the man himself.",2016-07-15,6.51,96,115,0,0,7.511,['United States of America'],['RadicalMedia'],['Documentary']
Morris from America,"A heartwarming and crowd-pleasing coming-of-age comedy with a unique spin, Morris from America centers on Morris Gentry, a 13-year-old who has just relocated with his single father, Curtis to Heidelberg, Germany. Morris, who fancies himself the next Notorious B.I.G., is a complete fish-out-of-water—a budding hip-hop star in an EDM world. To complicate matters further, Morris quickly falls hard for his cool, rebellious, 15-year-old classmate Katrin. Morris sets out against all odds to take the hip-hop world by storm and win the girl of his dreams.",2016-08-19,5.984,96,89,0,0,6.191,"['United States of America', 'Germany']","['Beachside Films', 'Lichtblick Media GmbH', 'INDI FILM']","['Drama', 'Romance']"
Stalked by My Doctor: The Return,"Dr. Beck, who has changed his name, saves a young teenage girl drowning in Mexico, whom he falls in love with. As always, there are some complications in his way, but he has plans to possibly get past them and get the girl of his dreams.",2016-09-05,6.058,95,97,0,0,12.163,"['Canada', 'United States of America']","['Shadowland', 'Johnson Production Group', 'Lifetime']","['Thriller', 'TV Movie']"
My Little Pony: Equestria Girls - Legend of Everfree,"When Canterlot Highschool goes on a trip to Camp Everfree, they’re surprised to find a magical force is causing strange things to happen around camp. With the help of the Mane 6 and especially Sunset Shimmer, Twilight Sparkle must confront the dark “Midnight Sparkle” within herself  and embrace her newfound magical abilities to save the camp.",2016-10-01,7.358,95,73,0,0,12.356,"['Canada', 'United States of America']","['DHX Media', 'Hasbro Studios']","['Adventure', 'Animation', 'Music', 'Fantasy', 'Comedy']"
Love on the Sidelines,A down-on-her-luck young woman who falls into a job as a personal assistant to a star quarterback sidelined with an injury. He's never had a female assistant before and she knows nothing about football.,2016-01-16,6.3,95,84,0,0,13.632,"['Canada', 'United States of America']","['Goalpost Pictures', 'Beth Grossbard Productions', 'Front Street Pictures', 'Corus Entertainment']","['TV Movie', 'Romance', 'Comedy']"
X-Rated 2: The Greatest Adult Stars of All-Time,"Documentary sequel that offers a close-up look into the personal lives of the legendary porn stars who've survived the test of time and influenced popular culture. Blends rare interviews with erotic clips and additional appearances by Whoopi Goldberg, Steven Soderbergh and a host of adult stars, directors and trendsetters.",2016-10-28,6.636,92,95,0,0,23.594,['United States of America'],['Showtime Networks'],['Documentary']
